"PointIds"	"Points:0"	"Points:1"	"Points:2"
0	-0.53378	0	0
1	0.53492	0	0
2	-0.53199	0.0075579	0
3	-0.5283	0.020575	0
4	-0.53158	0.010991	0
5	-0.50316	0.10216	0
6	-0.50411	0.099481	0
7	-0.49891	0.11496	0
8	-0.4993	0.11378	0
9	-0.50622	0.093352	0
10	-0.49077	0.13623	0
11	-0.49399	0.12872	0
12	-0.50774	0.089072	0
13	-0.50904	0.085394	0
14	-0.51136	0.077016	0
15	-0.51159	0.076315	0
16	-0.51282	0.072092	0
17	-0.51426	0.067113	0
18	-0.5236	0.034876	0
19	-0.52412	0.033354	0
20	-0.4947	0.12703	0
21	-0.49499	0.12614	0
22	-0.48917	0.14009	0
23	-0.48396	0.15335	0
24	-0.48534	0.14988	0
25	-0.48303	0.15586	0
26	-0.50237	0.10412	0
27	-0.51773	0.056187	0
28	-0.52032	0.046201	0
29	-0.52064	0.044913	0
30	-0.52727	0.023378	0
31	-0.45038	0.22179	0
32	-0.45449	0.21426	0
33	-0.44958	0.22327	0
34	-0.46441	0.1951	0
35	-0.46561	0.19283	0
36	-0.43843	0.24197	0
37	-0.44102	0.23752	0
38	-0.45775	0.20751	0
39	-0.45971	0.20407	0
40	-0.45595	0.21165	0
41	-0.46185	0.20011	0
42	-0.46695	0.19034	0
43	-0.46958	0.18519	0
44	-0.43703	0.24424	0
45	-0.44443	0.23172	0
46	-0.4454	0.22989	0
47	-0.4237	0.26244	0
48	-0.42409	0.26197	0
49	-0.41783	0.27105	0
50	-0.41176	0.28047	0
51	-0.41729	0.27184	0
52	-0.40873	0.28466	0
53	-0.41067	0.28186	0
54	-0.42983	0.2548	0
55	-0.43211	0.25156	0
56	-0.23901	0.42908	0
57	-0.2467	0.42485	0
58	-0.25372	0.42064	0
59	-0.26467	0.41419	0
60	-0.27104	0.41027	0
61	-0.25593	0.41941	0
62	-0.25854	0.4178	0
63	-0.28214	0.40351	0
64	-0.28474	0.40162	0
65	-0.22726	0.43557	0
66	-0.23339	0.4322	0
67	-0.51717	0.057868	0
68	-0.51448	0.066462	0
69	-0.15903	0.46345	0
70	-0.16368	0.4616	0
71	-0.18334	0.45526	0
72	-0.18753	0.45377	0
73	-0.27462	0.40814	0
74	-0.47458	0.17414	0
75	-0.47859	0.16607	0
76	-0.48755	0.14448	0
77	-0.48001	0.16301	0
78	-0.47374	0.17586	0
79	-0.47255	0.17847	0
80	-0.33912	0.35912	0
81	-0.34508	0.35405	0
82	-0.35511	0.34419	0
83	-0.35676	0.34265	0
84	-0.36302	0.33552	0
85	-0.36435	0.33428	0
86	-0.3711	0.328	0
87	-0.37391	0.32489	0
88	-0.3782	0.32019	0
89	-0.39133	0.30507	0
90	-0.39509	0.30067	0
91	-0.38397	0.31391	0
92	-0.38505	0.31277	0
93	-0.34755	0.35165	0
94	-0.34943	0.34979	0
95	-0.43613	0.24586	0
96	-0.40495	0.28977	0
97	-0.4174	0.27169	0
98	-0.41741	0.27167	0
99	-0.38663	0.31071	0
100	-0.39802	0.29739	0
101	-0.39978	0.29547	0
102	-0.3306	0.36667	0
103	-0.3323	0.36514	0
104	-0.3262	0.37008	0
105	-0.32148	0.37376	0
106	-0.31236	0.38124	0
107	-0.31946	0.37546	0
108	-0.30266	0.38827	0
109	-0.30508	0.38649	0
110	-0.2891	0.39871	0
111	-0.29356	0.39551	0
112	-0.30028	0.39016	0
113	-0.2235	0.43729	0
114	-0.23706	0.43013	0
115	-0.21697	0.44014	0
116	-0.1975	0.44895	0
117	-0.20386	0.44655	0
118	0.028338	0.48846	0
119	0.019732	0.48856	0
120	0.033334	0.48794	0
121	0.045819	0.48737	0
122	0.040471	0.48755	0
123	0.051875	0.48689	0
124	0.062901	0.4857	0
125	-0.13843	0.46964	0
126	-0.14229	0.46861	0
127	-0.11433	0.47646	0
128	-0.11684	0.47587	0
129	-0.12513	0.47348	0
130	-0.12788	0.47292	0
131	-0.13228	0.47147	0
132	-0.149	0.46638	0
133	-0.15204	0.46537	0
134	-0.17363	0.45849	0
135	-0.17538	0.4579	0
136	-0.079719	0.48256	0
137	-0.08029	0.48247	0
138	-0.061805	0.48583	0
139	-0.062396	0.48572	0
140	-0.070955	0.48423	0
141	-0.080784	0.4824	0
142	-0.089971	0.48099	0
143	-0.09427	0.48037	0
144	-0.10462	0.47849	0
145	-0.017152	0.48885	0
146	-0.01727	0.48885	0
147	-0.016975	0.48885	0
148	-0.025772	0.48858	0
149	-0.03732	0.48785	0
150	-0.03854	0.48779	0
151	-0.035793	0.48796	0
152	-0.051651	0.48706	0
153	-0.06149	0.48587	0
154	0.11218	0.47658	0
155	0.10944	0.47723	0
156	-0.19397	0.4509	0
157	-0.20739	0.44505	0
158	-0.21045	0.44356	0
159	-0.1725	0.45879	0
160	0.30488	0.38698	0
161	0.2999	0.39021	0
162	0.28712	0.39951	0
163	0.2781	0.40586	0
164	0.27762	0.40621	0
165	0.27733	0.40638	0
166	0.26827	0.41147	0
167	0.25948	0.4173	0
168	0.29552	0.3935	0
169	0.2911	0.39698	0
170	0.25851	0.41798	0
171	0.25738	0.41863	0
172	0.24815	0.42386	0
173	0.23785	0.42951	0
174	0.23771	0.42959	0
175	0.23758	0.42965	0
176	0.21646	0.44005	0
177	0.21485	0.44076	0
178	0.29761	0.39187	0
179	0.3104	0.38239	0
180	0.15274	0.46554	0
181	0.149	0.4667	0
182	0.13338	0.47095	0
183	0.12327	0.47383	0
184	0.13749	0.46988	0
185	0.12288	0.47395	0
186	0.14286	0.46839	0
187	0.12179	0.47422	0
188	0.092951	0.48052	0
189	0.085243	0.48195	0
190	0.079845	0.48287	0
191	0.098755	0.47941	0
192	0.096887	0.47969	0
193	0.074544	0.48374	0
194	0.063474	0.48562	0
195	0.063089	0.48567	0
196	0.50213	0.1055	0
197	0.50031	0.11152	0
198	0.49677	0.12141	0
199	0.49356	0.12914	0
200	0.49007	0.13827	0
201	0.48945	0.13987	0
202	0.51072	0.079355	0
203	0.50735	0.08984	0
204	0.50678	0.091465	0
205	0.49283	0.13115	0
206	0.50549	0.095203	0
207	0.50326	0.10174	0
208	0.51232	0.073594	0
209	0.51101	0.078319	0
210	0.514	0.067751	0
211	0.51437	0.066525	0
212	0.4338	0.24796	0
213	0.43244	0.25014	0
214	0.41788	0.272	0
215	0.41593	0.27457	0
216	0.42377	0.26325	0
217	0.4322	0.25048	0
218	0.42978	0.25415	0
219	0.47863	0.16622	0
220	0.47444	0.17511	0
221	0.48294	0.15677	0
222	0.47919	0.165	0
223	0.48502	0.15194	0
224	0.40996	0.28259	0
225	0.42493	0.26157	0
226	0.42532	0.26097	0
227	0.47015	0.18429	0
228	0.46571	0.1932	0
229	0.47216	0.18	0
230	0.46552	0.19358	0
231	0.46496	0.19457	0
232	0.45044	0.22074	0
233	0.44792	0.22556	0
234	0.48927	0.14033	0
235	0.48607	0.14903	0
236	0.47884	0.16573	0
237	0.31042	0.38238	0
238	0.32379	0.37198	0
239	0.32229	0.3732	0
240	0.33117	0.36613	0
241	0.32447	0.37138	0
242	0.3601	0.33883	0
243	0.3565	0.34239	0
244	0.35297	0.346	0
245	-0.104	0.47862	0
246	-0.10379	0.47865	0
247	0.009451	0.4888	0
248	0.0018418	0.48913	0
249	0.17586	0.45679	0
250	0.17249	0.45827	0
251	0.17162	0.45859	0
252	0.31045	0.38236	0
253	0.34281	0.35612	0
254	0.3388	0.35985	0
255	0.34573	0.3532	0
256	0.40056	0.29536	0
257	0.39791	0.29835	0
258	0.40159	0.2939	0
259	0.40822	0.28482	0
260	0.44281	0.23424	0
261	0.43944	0.2391	0
262	-0.048997	0.4875	0
263	0.016831	0.48865	0
264	0.018677	0.48865	0
265	0.00017859	0.48914	0
266	-0.0081417	0.48906	0
267	-0.0020087	0.4891	0
268	0.063173	0.48566	0
269	0.184	0.45349	0
270	0.18162	0.45444	0
271	0.22708	0.43513	0
272	0.21767	0.43949	0
273	0.19538	0.44931	0
274	0.19063	0.4514	0
275	0.20581	0.44489	0
276	0.16271	0.46282	0
277	0.16194	0.46303	0
278	0.20157	0.44679	0
279	0.37531	0.32277	0
280	0.37185	0.32659	0
281	0.36737	0.33151	0
282	0.39293	0.30378	0
283	0.45287	0.21643	0
284	0.45847	0.20622	0
285	0.45545	0.21197	0
286	0.46042	0.20275	0
287	0.43783	0.24159	0
288	0.34769	0.35138	0
289	0.31701	0.37764	0
290	0.36368	0.33521	0
291	0.37899	0.31876	0
292	0.38238	0.31566	0
293	0.39086	0.30624	0
294	0.38642	0.31147	0
295	0.33407	0.36376	0
296	0.52032	0.046065	0
297	0.51766	0.054916	0
298	0.51697	0.057355	0
299	0.52455	0.032012	0
300	0.52425	0.033088	0
301	0.52087	0.04408	0
302	0.52826	0.019349	0
303	0.52734	0.022012	0
304	0.52418	0.03331	0
305	0.53411	0.002128	0
306	0.53098	0.010871	0
307	0.49832	0.11722	0
308	0.44403	0.23205	0
