"PointIds"	"Points:0"	"Points:1"	"Points:2"
0	-0.56558	0	0
1	0.56401	0	0
2	-0.45202	0.23471	0
3	-0.45383	0.23246	0
4	-0.4373	0.2546	0
5	-0.44105	0.25034	0
6	-0.44377	0.24673	0
7	-0.44636	0.24308	0
8	-0.43486	0.25731	0
9	-0.44762	0.24137	0
10	-0.48102	0.19201	0
11	-0.48467	0.18526	0
12	-0.47598	0.20013	0
13	-0.47901	0.19525	0
14	-0.48502	0.18463	0
15	-0.50706	0.14508	0
16	-0.50815	0.14285	0
17	-0.49513	0.16726	0
18	-0.49637	0.16508	0
19	-0.37276	0.32248	0
20	-0.37496	0.32047	0
21	-0.36697	0.32791	0
22	-0.36291	0.33108	0
23	-0.3574	0.33549	0
24	-0.35345	0.33941	0
25	-0.38071	0.31515	0
26	-0.38994	0.30612	0
27	-0.39518	0.30097	0
28	-0.39743	0.29886	0
29	-0.2789	0.3915	0
30	-0.28302	0.389	0
31	-0.29071	0.3842	0
32	-0.297	0.38044	0
33	-0.25876	0.40297	0
34	-0.26189	0.40138	0
35	-0.25311	0.40598	0
36	-0.26944	0.3975	0
37	-0.27259	0.39554	0
38	-0.23871	0.41327	0
39	-0.2458	0.40978	0
40	-0.28753	0.38635	0
41	-0.24865	0.40835	0
42	-0.39903	0.29742	0
43	-0.40503	0.29189	0
44	-0.38353	0.31256	0
45	0.33551	0.35478	0
46	0.32878	0.35968	0
47	0.43455	0.25733	0
48	0.43197	0.26058	0
49	0.42815	0.26552	0
50	0.44043	0.25067	0
51	0.40319	0.29405	0
52	0.40047	0.29726	0
53	0.32772	0.36052	0
54	0.3265	0.36147	0
55	0.31986	0.36605	0
56	0.33779	0.35301	0
57	0.34949	0.34338	0
58	0.34664	0.34584	0
59	0.36585	0.32924	0
60	0.3598	0.33438	0
61	0.35763	0.33628	0
62	0.35572	0.3379	0
63	0.34197	0.34953	0
64	0.30003	0.37923	0
65	0.29959	0.37944	0
66	0.31136	0.37193	0
67	0.31049	0.37246	0
68	0.37765	0.31818	0
69	0.37434	0.32128	0
70	0.39526	0.30222	0
71	0.39268	0.30455	0
72	0.4209	0.27417	0
73	0.41617	0.2794	0
74	0.41273	0.28331	0
75	0.42476	0.26958	0
