"PointIds"	"Points:0"	"Points:1"	"Points:2"
0	-0.55845	0	0
1	0.55912	0	0
2	-0.47407	0.19891	0
3	-0.4779	0.19231	0
4	-0.45996	0.22043	0
5	-0.46418	0.21398	0
6	-0.46566	0.21206	0
7	-0.47005	0.20541	0
8	-0.45805	0.22336	0
9	-0.45865	0.22242	0
10	-0.45302	0.23093	0
11	-0.47061	0.20453	0
12	-0.55617	0.010427	0
13	-0.55652	0.0090657	0
14	-0.18566	0.43865	0
15	-0.18733	0.43804	0
16	-0.1957	0.43505	0
17	-0.20314	0.43164	0
18	-0.18505	0.43887	0
19	0.005448	0.4722	0
20	0.001424	0.4721	0
21	0.034288	0.47146	0
22	0.026368	0.47206	0
23	0.14873	0.45217	0
24	0.14863	0.45221	0
25	0.1383	0.45473	0
26	0.12521	0.45762	0
27	0.12231	0.45841	0
28	0.17001	0.44459	0
29	0.16208	0.44703	0
30	0.15831	0.44847	0
31	0.14895	0.4521	0
32	0.20755	0.43104	0
33	0.19771	0.43514	0
34	-0.036927	0.47128	0
35	-0.042605	0.47073	0
36	0.010351	0.47234	0
37	0.02371	0.47219	0
38	0.015634	0.47235	0
39	0.1362	0.45527	0
40	0.17302	0.44365	0
41	-0.16784	0.44546	0
42	-0.1701	0.44469	0
43	-0.14803	0.45137	0
44	-0.15714	0.44895	0
45	-0.16548	0.44615	0
46	-0.10469	0.46184	0
47	-0.11	0.46068	0
48	-0.11355	0.45994	0
49	-0.1443	0.45243	0
50	-0.14602	0.45191	0
51	-0.12503	0.45773	0
52	-0.1317	0.45595	0
53	-0.13499	0.45492	0
54	-0.077615	0.46679	0
55	-0.080733	0.46634	0
56	-0.095306	0.46405	0
57	-0.1006	0.46271	0
58	-0.12104	0.45849	0
59	-0.088391	0.46528	0
60	-0.093262	0.46452	0
61	-0.018388	0.47221	0
62	-0.021592	0.47239	0
63	-0.029151	0.47188	0
64	-0.062633	0.46869	0
65	-0.066372	0.46849	0
66	-0.053245	0.46936	0
67	-0.053467	0.46934	0
68	-0.074875	0.46736	0
69	-0.030909	0.47181	0
70	-0.053149	0.46937	0
71	-0.0053203	0.47212	0
72	-0.011628	0.47209	0
73	-0.044535	0.47052	0
74	-0.22142	0.42459	0
75	-0.23065	0.42025	0
76	-0.1939	0.43578	0
77	-0.17761	0.442	0
78	-0.23079	0.42018	0
79	-0.23109	0.42003	0
80	-0.42613	0.26547	0
81	-0.4287	0.26259	0
82	-0.42513	0.26678	0
83	-0.48726	0.17551	0
84	-0.48792	0.17443	0
85	-0.44528	0.24217	0
86	-0.44701	0.23973	0
87	-0.45068	0.23396	0
88	-0.43784	0.25221	0
89	-0.44025	0.24938	0
90	-0.3991	0.29711	0
91	-0.40501	0.29148	0
92	-0.41135	0.28397	0
93	-0.41225	0.28298	0
94	-0.41851	0.27492	0
95	-0.41921	0.27409	0
96	-0.34876	0.34399	0
97	-0.35395	0.34005	0
98	-0.24998	0.4104	0
99	-0.25816	0.40599	0
100	-0.24023	0.41541	0
101	-0.24467	0.41319	0
102	-0.21077	0.42921	0
103	-0.49309	0.16469	0
104	-0.49797	0.15544	0
105	-0.49291	0.16506	0
106	-0.51961	0.10923	0
107	-0.52052	0.10709	0
108	-0.52279	0.10178	0
109	-0.52679	0.092081	0
110	-0.51608	0.11733	0
111	-0.4799	0.18858	0
112	-0.48293	0.18303	0
113	-0.50392	0.14365	0
114	-0.50523	0.14088	0
115	-0.51079	0.12888	0
116	-0.51193	0.12638	0
117	-0.51492	0.11985	0
118	-0.49834	0.15478	0
119	-0.32234	0.36535	0
120	-0.32658	0.36213	0
121	-0.29793	0.38191	0
122	-0.30769	0.37586	0
123	-0.34379	0.34866	0
124	-0.34867	0.34407	0
125	-0.35836	0.33564	0
126	-0.36317	0.33164	0
127	-0.26156	0.40416	0
128	-0.27153	0.39888	0
129	-0.27285	0.39802	0
130	-0.28052	0.39302	0
131	-0.28848	0.38816	0
132	-0.29326	0.38483	0
133	-0.33637	0.35475	0
134	-0.33377	0.35672	0
135	-0.3354	0.35549	0
136	-0.30785	0.37576	0
137	-0.30794	0.37569	0
138	-0.31735	0.36888	0
