"PointIds"	"Points:0"	"Points:1"	"Points:2"
0	-0.54773	0	0
1	0.54738	0	0
2	-0.41805	0.27335	0
3	-0.41847	0.27281	0
4	-0.41622	0.27586	0
5	-0.42509	0.26398	0
6	-0.42612	0.26274	0
7	-0.38398	0.31296	0
8	-0.3841	0.31281	0
9	-0.37356	0.32349	0
10	-0.37679	0.32024	0
11	-0.40508	0.29053	0
12	-0.40918	0.28542	0
13	-0.41111	0.28285	0
14	-0.41209	0.28169	0
15	-0.51448	0.099978	0
16	-0.51768	0.092536	0
17	-0.50368	0.1267	0
18	-0.50549	0.12248	0
19	-0.50611	0.12096	0
20	-0.50951	0.11224	0
21	-0.51047	0.10978	0
22	-0.51423	0.10054	0
23	-0.51361	0.10205	0
24	-0.52015	0.086313	0
25	-0.52134	0.083496	0
26	-0.52399	0.076213	0
27	-0.49555	0.1467	0
28	-0.4982	0.14032	0
29	-0.50064	0.13403	0
30	-0.5016	0.13189	0
31	-0.47038	0.19618	0
32	-0.47243	0.19208	0
33	-0.44586	0.23625	0
34	-0.44828	0.23214	0
35	-0.43877	0.24724	0
36	-0.43879	0.24722	0
37	-0.45447	0.22267	0
38	-0.45675	0.21887	0
39	-0.45147	0.22761	0
40	-0.47437	0.18854	0
41	-0.48082	0.1761	0
42	-0.48433	0.16987	0
43	-0.49142	0.15509	0
44	-0.49466	0.1485	0
45	-0.48633	0.16581	0
46	-0.48931	0.15944	0
47	-0.54495	0.010138	0
48	-0.54542	0.0084883	0
49	-0.54144	0.020817	0
50	-0.54131	0.021197	0
51	-0.3839	0.31303	0
52	-0.3371	0.35709	0
53	-0.3402	0.35459	0
54	-0.35527	0.34107	0
55	-0.36044	0.33558	0
56	-0.34548	0.34992	0
57	-0.34917	0.34634	0
58	-0.35158	0.34413	0
59	-0.39785	0.29788	0
60	-0.39944	0.29628	0
61	-0.39078	0.30541	0
62	-0.39541	0.30039	0
63	-0.313	0.37582	0
64	-0.3192	0.37102	0
65	-0.32668	0.36547	0
66	-0.19622	0.44164	0
67	-0.2005	0.43995	0
68	-0.24463	0.41887	0
69	-0.25256	0.4144	0
70	-0.2588	0.41093	0
71	-0.26473	0.40766	0
72	-0.27367	0.40265	0
73	-0.22391	0.42965	0
74	-0.22793	0.42769	0
75	-0.20524	0.43778	0
76	-0.21012	0.436	0
77	-0.21425	0.4341	0
78	-0.21918	0.43188	0
79	-0.28729	0.39373	0
80	-0.29039	0.3917	0
81	-0.2761	0.40124	0
82	-0.28257	0.39681	0
83	-0.26257	0.40891	0
84	-0.23365	0.42473	0
85	-0.18831	0.44503	0
86	-0.19231	0.44347	0
87	-0.17041	0.45135	0
88	-0.17862	0.44871	0
89	-0.17902	0.44859	0
90	-0.075171	0.47454	0
91	-0.078759	0.47411	0
92	-0.091701	0.47214	0
93	-0.09541	0.47132	0
94	-0.43881	0.24719	0
95	-0.44336	0.24005	0
96	-0.43334	0.25411	0
97	-0.42463	0.26462	0
98	-0.43166	0.2563	0
99	-0.36926	0.32792	0
100	-0.36385	0.33259	0
101	-0.3099	0.37826	0
102	-0.2982	0.38594	0
103	-0.32837	0.36409	0
104	-0.33148	0.36164	0
105	-0.29986	0.38481	0
106	-0.3036	0.38238	0
107	-0.53032	0.055015	0
108	-0.53064	0.053909	0
109	-0.52654	0.06736	0
110	-0.52727	0.065367	0
111	-0.53424	0.043788	0
112	-0.53456	0.042838	0
113	-0.53782	0.032489	0
114	-0.46186	0.21044	0
115	-0.46199	0.21025	0
116	-0.46644	0.20278	0
117	-0.4684	0.19948	0
118	-0.46174	0.21071	0
119	-0.47632	0.18482	0
120	-0.47893	0.1797	0
121	-0.52536	0.071581	0
122	-0.53809	0.031673	0
123	-0.24322	0.4197	0
124	-0.24238	0.42012	0
125	-0.11876	0.46628	0
126	-0.1193	0.46617	0
127	-0.13033	0.46384	0
128	-0.13718	0.46138	0
129	-0.15676	0.45575	0
130	-0.15907	0.45509	0
131	0.0023518	0.47957	0
132	-0.0019633	0.47975	0
133	-0.003758	0.47959	0
134	-0.012735	0.47957	0
135	0.0071833	0.47956	0
136	-0.1232	0.46543	0
137	-0.12882	0.46434	0
138	-0.090257	0.47226	0
139	-0.10218	0.47006	0
140	-0.10809	0.46865	0
141	-0.11023	0.46812	0
142	-0.063693	0.47635	0
143	-0.066716	0.4757	0
144	-0.085786	0.47306	0
145	-0.054721	0.47702	0
146	-0.059631	0.47661	0
147	-0.014599	0.47963	0
148	-0.019457	0.47971	0
149	-0.047086	0.47835	0
150	-0.045519	0.47855	0
151	-0.036636	0.47942	0
152	-0.042134	0.47899	0
153	-0.026674	0.47979	0
154	-0.030749	0.47971	0
155	0.017148	0.48002	0
156	0.011407	0.4798	0
157	-0.024967	0.47988	0
158	-0.14094	0.46036	0
159	-0.14829	0.45802	0
160	-0.16124	0.45434	0
161	-0.17975	0.44833	0
162	0.021443	0.4799	0
163	0.027493	0.4796	0
164	0.037679	0.47908	0
165	0.032536	0.47937	0
166	0.11144	0.46822	0
167	0.10513	0.46987	0
168	0.048397	0.47798	0
169	0.043427	0.47833	0
170	0.056966	0.47695	0
171	0.055358	0.47714	0
172	0.064995	0.47647	0
173	0.092902	0.47215	0
174	0.08785	0.47285	0
175	0.081908	0.47375	0
176	0.14369	0.46018	0
177	0.13893	0.4614	0
178	0.15606	0.45625	0
179	0.14974	0.45853	0
180	0.18893	0.444	0
181	0.18775	0.44444	0
182	0.17698	0.44877	0
183	0.16648	0.45225	0
184	0.16557	0.45266	0
185	0.15786	0.45576	0
