"PointIds"	"Points:0"	"Points:1"	"Points:2"
0	-0.57213	0	0
1	0.57252	0	0
2	-0.4704	0.21368	0
3	-0.4733	0.20976	0
4	-0.47679	0.20478	0
5	-0.47863	0.20188	0
6	-0.48068	0.19884	0
7	-0.50349	0.16135	0
8	-0.50631	0.15594	0
9	-0.48905	0.18532	0
10	-0.49257	0.17979	0
11	-0.48732	0.1882	0
12	-0.48422	0.19345	0
13	-0.4331	0.26127	0
14	-0.43504	0.2593	0
15	-0.41234	0.28449	0
16	-0.41456	0.28184	0
17	-0.4461	0.24668	0
18	-0.44773	0.24449	0
19	-0.44206	0.25172	0
20	-0.45825	0.23012	0
21	-0.4611	0.22621	0
22	-0.5011	0.1654	0
23	-0.31695	0.36486	0
24	-0.32442	0.3597	0
25	-0.31157	0.36844	0
26	-0.31503	0.36614	0
27	-0.28731	0.38302	0
28	-0.29555	0.3784	0
29	-0.28605	0.38384	0
30	-0.24672	0.40534	0
31	-0.24691	0.40525	0
32	-0.30202	0.37458	0
33	-0.30537	0.37249	0
34	-0.26182	0.39776	0
35	-0.26668	0.39537	0
36	-0.21062	0.42156	0
37	-0.21699	0.41878	0
38	-0.22655	0.4146	0
39	-0.23208	0.41227	0
40	-0.21969	0.41759	0
41	-0.19658	0.42658	0
42	-0.19989	0.42504	0
43	-0.20344	0.42409	0
44	-0.18459	0.43079	0
45	-0.18862	0.42959	0
46	-0.39873	0.29795	0
47	-0.40492	0.29251	0
48	-0.41023	0.28681	0
49	-0.41169	0.28514	0
50	-0.38329	0.31234	0
51	-0.38945	0.30644	0
52	-0.37399	0.32054	0
53	-0.37871	0.31636	0
54	-0.37229	0.32202	0
55	-0.36577	0.32787	0
56	-0.25666	0.40034	0
57	-0.27187	0.39232	0
58	-0.23664	0.41018	0
59	-0.24661	0.4054	0
60	0.013349	0.46254	0
61	0.0058428	0.46263	0
62	0.02257	0.46232	0
63	0.016692	0.4624	0
64	0.0021611	0.46286	0
65	0.055143	0.46041	0
66	0.05234	0.46053	0
67	0.092631	0.45574	0
68	0.092315	0.45579	0
69	0.08305	0.4571	0
70	0.07794	0.45786	0
71	0.099845	0.45462	0
72	0.09289	0.45571	0
73	0.070131	0.45899	0
74	0.065648	0.45965	0
75	0.047647	0.46103	0
76	0.12992	0.44774	0
77	0.12357	0.44899	0
78	0.11937	0.45014	0
79	0.11296	0.45159	0
80	0.10441	0.45388	0
81	0.10417	0.45394	0
82	-0.14535	0.44353	0
83	-0.15389	0.44137	0
84	-0.13123	0.44687	0
85	-0.13384	0.44615	0
86	-0.0078037	0.46286	0
87	-0.0093111	0.46265	0
88	-0.02557	0.46199	0
89	-0.02873	0.46178	0
90	-0.011412	0.46273	0
91	-0.019235	0.46267	0
92	-0.049707	0.46006	0
93	-0.05886	0.45968	0
94	-0.039278	0.4608	0
95	-0.046416	0.46043	0
96	-0.07634	0.45781	0
97	-0.083798	0.45669	0
98	-0.059314	0.45966	0
99	-0.060474	0.45958	0
100	-0.16385	0.43823	0
101	-0.16789	0.43688	0
102	-0.17526	0.43416	0
103	-0.17776	0.43324	0
104	-0.086453	0.4562	0
105	-0.089256	0.45572	0
106	-0.096312	0.45438	0
107	-0.098444	0.45394	0
108	-0.035548	0.46108	0
109	-0.037575	0.46097	0
110	-0.06838	0.45884	0
111	-0.085838	0.45631	0
112	-0.072036	0.45852	0
113	-0.36236	0.33042	0
114	-0.34493	0.34406	0
115	-0.34843	0.34136	0
116	-0.33167	0.35455	0
117	-0.33332	0.35334	0
118	-0.34171	0.34699	0
119	-0.33571	0.35147	0
120	-0.35238	0.33869	0
121	-0.35581	0.33548	0
122	-0.38191	0.31358	0
123	-0.2767	0.38932	0
124	-0.28433	0.3848	0
125	-0.39502	0.30123	0
126	-0.41902	0.27668	0
127	-0.53249	0.10506	0
128	-0.53466	0.099667	0
129	-0.49513	0.17542	0
130	-0.49806	0.17047	0
131	-0.50885	0.15137	0
132	-0.51105	0.14771	0
133	-0.51272	0.14458	0
134	-0.51749	0.13555	0
135	-0.51983	0.13079	0
136	-0.46696	0.21784	0
137	-0.46277	0.22387	0
138	-0.4485	0.2435	0
139	-0.45377	0.23598	0
140	-0.52623	0.11794	0
141	-0.52837	0.11378	0
142	-0.52889	0.11269	0
143	-0.541	0.085686	0
144	-0.54539	0.075125	0
145	-0.54559	0.074498	0
146	-0.54579	0.073961	0
147	-0.52319	0.12388	0
148	-0.52381	0.12265	0
149	-0.53598	0.096416	0
150	-0.53905	0.089513	0
151	-0.15538	0.44094	0
152	-0.14176	0.44418	0
153	0.54932	0.065091	0
154	0.54524	0.074908	0
155	0.55842	0.040312	0
156	0.55756	0.042563	0
157	0.53681	0.095873	0
158	0.5325	0.10547	0
159	0.53866	0.091468	0
160	0.54417	0.077554	0
161	0.54116	0.085516	0
162	0.52755	0.11623	0
163	0.52625	0.11882	0
164	0.53145	0.10774	0
165	0.51767	0.13626	0
166	0.51352	0.14421	0
167	0.5226	0.12619	0
168	0.52002	0.13156	0
169	0.51237	0.1464	0
170	0.50658	0.15662	0
171	0.48202	0.19723	0
172	0.47821	0.20305	0
173	0.43404	0.26025	0
174	0.429	0.26641	0
175	0.44265	0.25081	0
176	0.43526	0.25877	0
177	0.44949	0.24308	0
178	0.44287	0.25057	0
179	0.45519	0.23505	0
180	0.45068	0.24143	0
181	0.46132	0.22736	0
182	0.46131	0.22738	0
183	0.47152	0.21212	0
184	0.46694	0.2188	0
185	0.4725	0.2108	0
186	0.47317	0.20982	0
187	0.48389	0.19437	0
188	0.48962	0.18553	0
189	0.4872	0.1893	0
190	0.53225	0.10605	0
191	0.49105	0.18305	0
192	0.49503	0.17617	0
193	0.49943	0.16887	0
194	0.50644	0.15687	0
195	0.55448	0.05221	0
196	0.56485	0.024339	0
197	0.56174	0.031639	0
198	0.56597	0.021688	0
199	0.57038	0.0077881	0
200	0.56763	0.016756	0
201	0.55378	0.054116	0
202	0.5499	0.063536	0
203	0.56949	0.011025	0
204	-0.10392	0.45272	0
205	-0.10893	0.45162	0
206	-0.12282	0.44893	0
207	-0.11125	0.45137	0
208	-0.11988	0.44975	0
209	0.19307	0.42922	0
210	0.18639	0.43172	0
211	0.18021	0.43399	0
212	0.17914	0.43432	0
213	0.4613	0.22739	0
214	0.50073	0.16668	0
215	0.33784	0.35081	0
216	0.33428	0.35349	0
217	0.32857	0.35746	0
218	0.34619	0.34441	0
219	0.34088	0.34839	0
220	0.35534	0.33674	0
221	0.34847	0.34253	0
222	0.32647	0.35908	0
223	0.31004	0.36997	0
224	0.30952	0.37036	0
225	0.29961	0.37653	0
226	0.14255	0.44455	0
227	0.1396	0.44534	0
228	0.15696	0.44012	0
229	0.1524	0.44154	0
230	0.37396	0.32085	0
231	0.36889	0.32539	0
232	0.35686	0.3355	0
233	0.3772	0.31794	0
234	0.38076	0.3153	0
235	0.39256	0.30465	0
236	0.39128	0.30587	0
237	0.40043	0.2976	0
238	0.39471	0.3028	0
239	0.36533	0.3286	0
240	0.35866	0.33399	0
241	0.50582	0.15793	0
242	0.42476	0.27123	0
243	0.40359	0.29405	0
244	0.4163	0.28036	0
245	0.41347	0.28345	0
246	0.44268	0.25078	0
247	0.42173	0.27465	0
248	0.40819	0.28895	0
249	0.38531	0.31153	0
250	0.036276	0.46164	0
251	0.032418	0.46175	0
252	0.042294	0.46144	0
253	0.029128	0.46184	0
254	0.063278	0.45992	0
255	0.074623	0.45827	0
256	0.16859	0.43713	0
257	0.19375	0.42891	0
258	0.20548	0.42453	0
259	0.19517	0.42846	0
260	0.23469	0.4121	0
261	0.22855	0.41491	0
262	0.24585	0.40678	0
263	0.23938	0.40993	0
264	0.25	0.40474	0
265	0.25287	0.4033	0
266	0.26024	0.39961	0
267	0.28873	0.38361	0
268	0.28714	0.38459	0
269	0.2193	0.41907	0
270	0.21757	0.41984	0
271	0.21612	0.42038	0
272	0.26652	0.39581	0
273	0.26931	0.39437	0
274	0.13483	0.44658	0
275	0.1315	0.44743	0
276	0.27675	0.39024	0
277	0.28027	0.38835	0
278	0.27814	0.3895	0
279	0.29356	0.38048	0
280	0.14773	0.44316	0
281	0.16029	0.43931	0
282	0.31098	0.36942	0
283	0.32394	0.36095	0
284	0.31876	0.3644	0
285	0.29843	0.37719	0
286	-0.5496	0.064626	0
287	-0.55028	0.06279	0
288	-0.56995	0.0077875	0
289	-0.56498	0.02314	0
290	-0.56501	0.02307	0
291	-0.43553	0.25875	0
292	-0.43687	0.25735	0
293	-0.42033	0.2753	0
294	-0.42565	0.26932	0
295	-0.42756	0.26699	0
296	-0.45503	0.2345	0
297	-0.39716	0.29931	0
298	-0.56508	0.022861	0
299	-0.56923	0.010571	0
300	-0.55448	0.050199	0
301	-0.55634	0.045676	0
302	-0.56502	0.023042	0
303	-0.5526	0.055775	0
304	-0.5592	0.038419	0
305	-0.56076	0.034425	0
306	-0.5157	0.139	0
