"PointIds"	"Points:0"	"Points:1"	"Points:2"
0	-0.56289	0	0
1	0.56308	0	0
2	-0.51453	0.12675	0
3	-0.51803	0.11946	0
4	-0.51974	0.1158	0
5	-0.52212	0.11055	0
6	-0.50578	0.14522	0
7	-0.50591	0.14491	0
8	-0.51027	0.13595	0
9	-0.51305	0.12993	0
10	-0.49529	0.16504	0
11	-0.49975	0.15683	0
12	-0.50037	0.15554	0
13	-0.50455	0.14754	0
14	-0.37282	0.32261	0
15	-0.37514	0.32047	0
16	-0.38356	0.31262	0
17	-0.39001	0.30607	0
18	-0.3952	0.30091	0
19	-0.39747	0.29876	0
20	-0.52476	0.10455	0
21	-0.52737	0.098404	0
22	-0.52944	0.093212	0
23	-0.52569	0.10233	0
24	-0.48027	0.1917	0
25	-0.4831	0.18636	0
26	-0.47242	0.20449	0
27	-0.47537	0.19974	0
28	-0.41869	0.27541	0
29	-0.41958	0.27439	0
30	-0.39906	0.29732	0
31	-0.40503	0.29176	0
32	-0.40975	0.28638	0
33	-0.43469	0.25699	0
34	-0.43747	0.25385	0
35	-0.43004	0.26209	0
36	-0.4337	0.25817	0
37	-0.3811	0.31491	0
38	-0.38276	0.31337	0
39	-0.36719	0.32795	0
40	-0.41536	0.27953	0
41	-0.4253	0.26752	0
42	-0.41231	0.2834	0
43	-0.41149	0.28428	0
44	-0.47865	0.19434	0
45	-0.46704	0.21245	0
46	-0.47096	0.2067	0
47	-0.46496	0.21512	0
48	-0.44315	0.24685	0
49	-0.44601	0.24278	0
50	-0.44742	0.24085	0
51	-0.45159	0.23448	0
52	-0.45357	0.23198	0
53	-0.45919	0.22378	0
54	-0.45934	0.22355	0
55	-0.42659	0.26586	0
56	-0.4408	0.25003	0
57	-0.48435	0.18412	0
58	-0.36299	0.33127	0
59	-0.35769	0.33557	0
60	-0.34321	0.34821	0
61	-0.34771	0.34399	0
62	-0.34862	0.34325	0
63	-0.35357	0.33964	0
64	-0.33502	0.35476	0
65	-0.16687	0.44334	0
66	-0.16692	0.44332	0
67	-0.31674	0.36811	0
68	-0.32084	0.36525	0
69	-0.24545	0.41086	0
70	-0.24908	0.40901	0
71	-0.28255	0.39007	0
72	-0.28784	0.38693	0
73	-0.27268	0.39632	0
74	-0.27942	0.39198	0
75	-0.30717	0.37481	0
76	-0.30901	0.37356	0
77	-0.29153	0.38441	0
78	-0.2973	0.38091	0
79	-0.22052	0.42281	0
80	-0.22515	0.42065	0
81	-0.23129	0.41783	0
82	-0.23919	0.41395	0
83	-0.25472	0.406	0
84	-0.2701	0.39794	0
85	-0.25926	0.40355	0
86	-0.2618	0.40225	0
87	-0.19229	0.4341	0
88	-0.19612	0.43257	0
89	-0.20217	0.42976	0
90	-0.2085	0.42784	0
91	-0.21179	0.42661	0
92	-0.21734	0.42419	0
93	-0.22953	0.4186	0
94	-0.30621	0.37545	0
95	-0.33483	0.3549	0
96	-0.33451	0.35513	0
97	-0.326	0.36143	0
98	-0.13418	0.45264	0
99	-0.14335	0.45022	0
100	-0.16707	0.44327	0
101	-0.17714	0.4397	0
102	-0.18229	0.43754	0
103	-0.18532	0.43636	0
104	-0.16672	0.44339	0
105	-0.14624	0.44947	0
106	-0.15644	0.44682	0
107	0.25422	0.40732	0
108	0.25199	0.40854	0
109	0.26239	0.40292	0
110	0.19284	0.43476	0
111	0.1836	0.43828	0
112	0.17654	0.44059	0
113	0.16466	0.44394	0
114	0.16062	0.44517	0
115	0.15874	0.44588	0
116	0.1717	0.44185	0
117	0.50236	0.15293	0
118	0.49957	0.15807	0
119	0.48865	0.1778	0
120	0.48578	0.18291	0
121	0.49108	0.1734	0
122	0.49235	0.1711	0
123	0.46927	0.20887	0
124	0.46707	0.21232	0
125	0.48041	0.19197	0
126	0.47594	0.19911	0
127	0.47499	0.20069	0
