"PointIds"	"Points:0"	"Points:1"	"Points:2"
0	-0.58507	-0.5	0
1	0.41225	-0.5	0
2	0.58636	0.5	0
3	-0.41321	0.5	0
4	-0.48744	0.061835	0
5	-0.48822	0.058151	0
6	-0.4834	0.081283	0
7	-0.48453	0.076605	0
8	-0.48547	0.072021	0
9	-0.46678	0.16423	0
10	-0.46839	0.15634	0
11	-0.46661	0.16499	0
12	-0.46628	0.16652	0
13	-0.43549	0.32792	0
14	-0.43602	0.32526	0
15	-0.43737	0.31755	0
16	-0.438	0.31458	0
17	-0.55721	-0.28562	0
18	-0.55821	-0.29026	0
19	-0.5591	-0.29498	0
20	-0.56017	-0.30082	0
21	-0.56406	-0.32267	0
22	-0.56491	-0.3271	0
23	-0.55623	-0.28046	0
24	-0.56294	-0.31681	0
25	-0.5608	-0.30498	0
26	-0.578	-0.4048	0
27	-0.57918	-0.41098	0
28	-0.57285	-0.37287	0
29	-0.57329	-0.37554	0
30	-0.57468	-0.38476	0
31	-0.57509	-0.38704	0
32	-0.56843	-0.34676	0
33	-0.5685	-0.34712	0
34	-0.56623	-0.3344	0
35	-0.56673	-0.33701	0
36	-0.58392	-0.45568	0
37	-0.58457	-0.46183	0
38	-0.58635	-0.49175	0
39	-0.58563	-0.49572	0
40	-0.58533	-0.47742	0
41	-0.58537	-0.47796	0
42	-0.58595	-0.48443	0
43	-0.58636	-0.48963	0
44	-0.58486	-0.46686	0
45	-0.58496	-0.47039	0
46	-0.58267	-0.4417	0
47	-0.58309	-0.44495	0
48	-0.58345	-0.45098	0
49	-0.58365	-0.45323	0
50	-0.44397	0.28086	0
51	-0.4458	0.27237	0
52	-0.45028	0.24864	0
53	-0.45151	0.24176	0
54	-0.45417	0.22635	0
55	-0.45475	0.22268	0
56	-0.45189	0.23969	0
57	-0.45304	0.2327	0
58	-0.45546	0.21972	0
59	-0.45724	0.21207	0
60	-0.46972	0.14998	0
61	-0.47005	0.14835	0
62	-0.47182	0.14035	0
63	-0.4729	0.13479	0
64	-0.47045	0.14675	0
65	-0.47341	0.13149	0
66	-0.47473	0.12488	0
67	-0.47629	0.11519	0
68	-0.47744	0.11015	0
69	-0.47553	0.12056	0
70	-0.47835	0.106	0
71	-0.48043	0.096276	0
72	-0.48148	0.091053	0
73	-0.44786	0.26121	0
74	-0.44972	0.25209	0
75	-0.44765	0.26223	0
76	-0.44755	0.26285	0
77	-0.4435	0.28341	0
78	-0.44373	0.28209	0
79	-0.45915	0.20197	0
80	-0.46069	0.19375	0
81	-0.45804	0.2081	0
82	-0.4794	0.1008	0
83	-0.48225	0.086449	0
84	-0.49423	0.028577	0
85	-0.49577	0.021336	0
86	-0.49923	0.0041814	0
87	-0.49948	0.0029539	0
88	-0.49198	0.040353	0
89	-0.49218	0.039205	0
90	-0.49648	0.016627	0
91	-0.48642	0.067067	0
92	-0.48951	0.051634	0
93	-0.49009	0.048824	0
94	-0.49722	0.012691	0
95	-0.494	0.029813	0
96	-0.50191	-0.0090666	0
97	-0.50364	-0.017331	0
98	-0.50156	-0.0073392	0
99	-0.50555	-0.027225	0
100	-0.50739	-0.036225	0
101	-0.50741	-0.036345	0
102	-0.50748	-0.036654	0
103	-0.50952	-0.04592	0
104	-0.5105	-0.049206	0
105	-0.51298	-0.061406	0
106	-0.51482	-0.070315	0
107	-0.50456	-0.022141	0
108	-0.49303	0.034791	0
109	-0.50041	-0.0014723	0
110	-0.58019	-0.41877	0
111	-0.58035	-0.42047	0
112	-0.58108	-0.42668	0
113	-0.58189	-0.43101	0
114	-0.58539	-0.47822	0
115	-0.58218	-0.43554	0
116	-0.57026	-0.35687	0
117	-0.57085	-0.36031	0
118	-0.57412	-0.38102	0
119	-0.57616	-0.39371	0
120	-0.57758	-0.40257	0
121	-0.57727	-0.40047	0
122	-0.57177	-0.36609	0
123	-0.56852	-0.34724	0
124	-0.5526	-0.26081	0
125	-0.55268	-0.26121	0
126	-0.56178	-0.3116	0
127	-0.5457	-0.22241	0
128	-0.54709	-0.22988	0
129	-0.53633	-0.17751	0
130	-0.53806	-0.18473	0
131	-0.53851	-0.18688	0
132	-0.53977	-0.19301	0
133	-0.5424	-0.20752	0
134	-0.54283	-0.20946	0
135	-0.54479	-0.21829	0
136	-0.54515	-0.22005	0
137	-0.54829	-0.23591	0
138	-0.52707	-0.13347	0
139	-0.52748	-0.13544	0
140	-0.52529	-0.12461	0
141	-0.52343	-0.11455	0
142	-0.52509	-0.12362	0
143	-0.53428	-0.1653	0
144	-0.53486	-0.16792	0
145	-0.54901	-0.23984	0
146	-0.5545	-0.27101	0
147	-0.55246	-0.25999	0
148	-0.55554	-0.27664	0
149	-0.55012	-0.24705	0
150	-0.55081	-0.25053	0
151	-0.54055	-0.19726	0
152	-0.54081	-0.19842	0
153	-0.51296	-0.061283	0
154	-0.51164	-0.054173	0
155	-0.42184	0.4115	0
156	-0.42205	0.40986	0
157	-0.43284	0.34252	0
158	-0.43362	0.33812	0
159	-0.43158	0.34956	0
160	-0.43188	0.34794	0
161	-0.43032	0.35706	0
162	-0.42286	0.40114	0
163	-0.42416	0.3935	0
164	-0.4398	0.30303	0
165	-0.44023	0.30063	0
166	-0.42715	0.37562	0
167	-0.42771	0.37208	0
168	-0.44188	0.29212	0
169	-0.43954	0.3048	0
170	-0.57994	-0.41643	0
171	-0.42553	0.38444	0
172	-0.42674	0.37793	0
173	-0.41606	0.45348	0
174	-0.41607	0.45332	0
175	-0.41609	0.45322	0
176	-0.41754	0.44313	0
177	-0.41799	0.43863	0
178	-0.41887	0.43278	0
179	-0.41931	0.42679	0
180	-0.41969	0.42456	0
181	-0.42065	0.4188	0
182	-0.41484	0.47218	0
183	-0.41517	0.46824	0
184	-0.41413	0.48633	0
185	-0.41426	0.4813	0
186	-0.41401	0.49045	0
187	-0.41557	0.46281	0
188	-0.41377	0.49427	0
