"PointIds"	"Points:0"	"Points:1"	"Points:2"
0	-0.59047	0	0
1	0.59108	0	0
2	-0.44893	0.2432	0
3	-0.44974	0.24233	0
4	-0.44421	0.24821	0
5	-0.4568	0.23492	0
6	-0.45853	0.23287	0
7	-0.46474	0.22576	0
8	-0.43082	0.2626	0
9	-0.43254	0.26085	0
10	-0.43823	0.25465	0
11	-0.41852	0.27393	0
12	-0.42206	0.27113	0
13	-0.42508	0.26784	0
14	-0.41577	0.27632	0
15	-0.40506	0.28652	0
16	-0.4091	0.28276	0
17	-0.40236	0.28917	0
18	-0.4112	0.28095	0
19	-0.40105	0.29039	0
20	-0.39304	0.29736	0
21	-0.39396	0.29657	0
22	-0.58925	0.01021	0
23	-0.58977	0.00688	0
24	-0.56185	0.073092	0
25	-0.56481	0.066855	0
26	-0.55534	0.086778	0
27	-0.55999	0.076719	0
28	-0.57852	0.035927	0
29	-0.58181	0.028352	0
30	-0.5826	0.026136	0
31	-0.58597	0.0185	0
32	-0.58618	0.017999	0
33	-0.57414	0.046495	0
34	-0.57708	0.039528	0
35	-0.5722	0.050724	0
36	-0.56953	0.056753	0
37	-0.56721	0.061711	0
38	-0.53986	0.11584	0
39	-0.54323	0.10991	0
40	-0.54863	0.10039	0
41	-0.55051	0.09657	0
42	-0.55497	0.087542	0
43	-0.55521	0.087069	0
44	-0.53735	0.12062	0
45	-0.53569	0.124	0
46	-0.54544	0.10625	0
47	-0.52728	0.13828	0
48	-0.53106	0.13287	0
49	-0.53404	0.12694	0
50	-0.4917	0.19172	0
51	-0.49178	0.19161	0
52	-0.5056	0.17202	0
53	-0.5103	0.1644	0
54	-0.51364	0.15945	0
55	-0.51545	0.15678	0
56	-0.30569	0.35972	0
57	-0.30984	0.35751	0
58	-0.033862	0.44245	0
59	-0.035927	0.44245	0
60	-0.045222	0.44115	0
61	-0.04772	0.44102	0
62	-0.057322	0.44037	0
63	-0.02326	0.4427	0
64	-0.023429	0.4427	0
65	-0.06077	0.44	0
66	-0.069096	0.4387	0
67	-0.024196	0.4427	0
68	-0.093738	0.43549	0
69	-0.10023	0.43419	0
70	-0.081105	0.43712	0
71	-0.085304	0.43653	0
72	-0.10648	0.43297	0
73	-0.11388	0.4316	0
74	-0.11968	0.4303	0
75	-0.1252	0.42936	0
76	-0.46774	0.22222	0
77	-0.47334	0.21536	0
78	-0.48199	0.20456	0
79	-0.48424	0.20177	0
80	-0.49865	0.1822	0
81	-0.50391	0.17458	0
82	-0.51857	0.15195	0
83	-0.52032	0.14936	0
84	-0.52104	0.14818	0
85	-0.52555	0.14107	0
86	-0.29855	0.36377	0
87	-0.3213	0.35046	0
88	-0.32196	0.34998	0
89	-0.32933	0.34537	0
90	-0.075167	0.43787	0
91	-0.17207	0.41782	0
92	-0.18236	0.41458	0
93	-0.19346	0.41109	0
94	-0.19584	0.41028	0
95	-0.18381	0.41411	0
96	-0.20774	0.40597	0
97	-0.21287	0.40415	0
98	-0.14258	0.4258	0
99	-0.14898	0.42436	0
100	-0.12985	0.42843	0
101	-0.13683	0.42715	0
102	-0.15692	0.42213	0
103	-0.16049	0.42111	0
104	-0.26075	0.38354	0
105	-0.26303	0.38231	0
106	-0.2973	0.36449	0
107	-0.33592	0.34054	0
108	-0.34283	0.33617	0
109	-0.34485	0.33475	0
110	-0.35242	0.3291	0
111	-0.33106	0.34423	0
112	-0.34392	0.33543	0
113	-0.29659	0.36489	0
114	-0.27033	0.37842	0
115	-0.35586	0.32645	0
116	-0.36006	0.32319	0
117	-0.17021	0.41839	0
118	-0.20385	0.4076	0
119	-0.31356	0.35548	0
120	-0.32053	0.35096	0
121	-0.28889	0.36925	0
122	-0.27538	0.37588	0
123	-0.27989	0.37366	0
124	-0.28287	0.37224	0
125	-0.36382	0.3202	0
126	-0.36896	0.31651	0
127	-0.38722	0.30217	0
128	-0.44023	0.25246	0
129	-0.44077	0.25193	0
130	-0.47563	0.21249	0
131	-0.49157	0.1919	0
132	-0.49168	0.19176	0
133	-0.37178	0.3146	0
134	-0.37668	0.31078	0
135	-0.37967	0.30851	0
136	-0.38114	0.30724	0
137	-0.5048	0.1733	0
138	-0.25049	0.38805	0
139	-0.25957	0.38404	0
140	-0.24613	0.39033	0
