"PointIds"	"Points:0"	"Points:1"	"Points:2"
0	-0.51673	0	0
1	0.51724	0	0
2	-0.50226	0.04935	0
3	-0.50418	0.043289	0
4	-0.49094	0.092721	0
5	-0.49095	0.092666	0
6	-0.49089	0.092885	0
7	-0.49335	0.081324	0
8	-0.4869	0.10547	0
9	-0.48806	0.10213	0
10	-0.48173	0.12422	0
11	-0.48341	0.11745	0
12	-0.48545	0.11054	0
13	-0.51239	0.016424	0
14	-0.51256	0.015924	0
15	-0.50603	0.037168	0
16	-0.50686	0.033855	0
17	-0.49599	0.068792	0
18	-0.49872	0.061328	0
19	-0.50048	0.055194	0
20	-0.4935	0.080789	0
21	0.47603	0.14424	0
22	0.47425	0.14914	0
23	0.45089	0.2088	0
24	0.44538	0.22023	0
25	0.45722	0.19546	0
26	0.45627	0.19772	0
27	0.45275	0.20493	0
28	0.45128	0.20794	0
29	0.47825	0.13623	0
30	0.48198	0.12438	0
31	0.47887	0.13439	0
32	0.48253	0.12258	0
33	0.47297	0.15324	0
34	0.46693	0.17007	0
35	0.46678	0.17051	0
36	0.47027	0.1612	0
37	0.46773	0.16797	0
38	0.46355	0.17896	0
39	0.4601	0.18794	0
40	0.48515	0.11333	0
41	0.48563	0.11142	0
42	0.50036	0.0567	0
43	0.49857	0.062972	0
44	0.50485	0.041142	0
45	0.5038	0.045238	0
46	0.50698	0.032708	0
47	0.51049	0.020038	0
48	0.5097	0.022648	0
49	0.50192	0.051422	0
50	0.51326	0.011503	0
51	0.51493	0.0063706	0
52	0.51376	0.0099549	0
53	0.30704	0.39191	0
54	0.30232	0.39592	0
55	0.29752	0.39977	0
56	0.2924	0.40347	0
57	0.23941	0.43649	0
58	0.23052	0.44087	0
59	0.25127	0.42974	0
60	0.24949	0.43069	0
61	0.27036	0.41772	0
62	0.26747	0.41976	0
63	0.25923	0.4253	0
64	0.26192	0.42339	0
65	0.28937	0.40556	0
66	0.37327	0.32892	0
67	0.36783	0.33473	0
68	0.365	0.33769	0
69	0.35966	0.34387	0
70	0.35657	0.34708	0
71	0.3532	0.35054	0
72	0.34759	0.35624	0
73	0.34486	0.35889	0
74	0.33874	0.36481	0
75	0.38024	0.32041	0
76	0.3778	0.32315	0
77	0.40277	0.29231	0
78	0.40065	0.2953	0
79	0.41093	0.281	0
80	0.40816	0.28485	0
81	0.39407	0.3039	0
82	0.39237	0.30612	0
83	0.38314	0.31711	0
84	0.38759	0.31227	0
85	0.29926	0.39827	0
86	0.2865	0.40724	0
87	0.32035	0.38035	0
88	0.32024	0.38044	0
89	0.33844	0.3651	0
90	0.33198	0.37043	0
91	0.31869	0.38175	0
92	0.31318	0.38643	0
93	0.24714	0.43209	0
94	0.47866	0.13505	0
95	0.47108	0.15888	0
96	0.49738	0.067702	0
97	0.49504	0.075305	0
98	0.46237	0.18219	0
99	0.50748	0.030843	0
100	0.50712	0.032223	0
101	0.49375	0.079316	0
102	0.49102	0.089366	0
103	0.48812	0.10069	0
104	0.4912	0.088782	0
105	0.488	0.10125	0
106	0.43261	0.24462	0
107	0.43006	0.24953	0
108	0.44049	0.23013	0
109	0.43908	0.2327	0
110	0.32747	0.37482	0
111	0.27893	0.41174	0
112	0.27422	0.41512	0
113	0.28177	0.40999	0
114	0.3267	0.37566	0
115	0.32132	0.37963	0
116	0.31246	0.38707	0
117	0.39661	0.30065	0
118	0.42367	0.26076	0
119	0.42065	0.26606	0
120	0.42688	0.25545	0
121	0.4355	0.23931	0
122	0.44535	0.22028	0
123	0.41807	0.27003	0
124	0.41462	0.27509	0
125	0.21014	0.45121	0
126	0.2093	0.45162	0
127	0.22932	0.44149	0
128	0.22809	0.44208	0
129	0.21909	0.44652	0
130	-0.12299	0.48244	0
131	-0.13233	0.47976	0
132	-0.13481	0.47905	0
133	-0.078713	0.49198	0
134	-0.085468	0.49063	0
135	-0.092906	0.48921	0
136	-0.096233	0.48852	0
137	-0.25299	0.42821	0
138	-0.25323	0.42807	0
139	-0.27183	0.41659	0
140	-0.27515	0.41463	0
141	-0.22836	0.44192	0
142	-0.23149	0.44017	0
143	-0.26236	0.42278	0
144	-0.25158	0.42896	0
145	-0.23996	0.43531	0
146	-0.2413	0.43468	0
147	-0.17242	0.46676	0
148	-0.18012	0.4644	0
149	-0.18249	0.46343	0
150	-0.11893	0.48352	0
151	-0.10584	0.48631	0
152	-0.10886	0.48562	0
153	-0.066496	0.49331	0
154	-0.073532	0.49272	0
155	-0.15584	0.47222	0
156	-0.16632	0.46869	0
157	-0.42103	0.26472	0
158	-0.42634	0.25666	0
159	-0.4126	0.27796	0
160	-0.41323	0.27689	0
161	-0.4076	0.28484	0
162	-0.40363	0.2908	0
163	-0.40691	0.28596	0
164	-0.4346	0.2423	0
165	-0.43701	0.23794	0
166	-0.44072	0.23043	0
167	-0.43152	0.24753	0
168	-0.42666	0.25611	0
169	-0.44639	0.21903	0
170	-0.44863	0.21438	0
171	-0.44251	0.22719	0
172	-0.45015	0.21127	0
173	-0.46148	0.18507	0
174	-0.46335	0.17984	0
175	-0.45718	0.19536	0
176	-0.45822	0.1928	0
177	-0.060325	0.49442	0
178	-0.046056	0.49574	0
179	-0.049604	0.49548	0
180	-0.054718	0.49504	0
181	-0.034483	0.49613	0
182	-0.034812	0.49611	0
183	-0.018159	0.49765	0
184	-0.025426	0.49727	0
185	0.0082171	0.49769	0
186	0.0058553	0.49778	0
187	-0.0020141	0.4982	0
188	-0.0053092	0.49817	0
189	-0.015074	0.49771	0
190	-0.012884	0.49779	0
191	0.031919	0.49705	0
192	0.024258	0.49717	0
193	0.032064	0.49703	0
194	0.031974	0.49704	0
195	0.046436	0.49543	0
196	0.040371	0.49606	0
197	0.059247	0.49424	0
198	0.05331	0.4946	0
199	0.049933	0.49489	0
200	0.080068	0.49203	0
201	0.0733	0.49304	0
202	0.065979	0.49379	0
203	0.084038	0.49099	0
204	-0.03433	0.49613	0
205	-0.043543	0.49607	0
206	0.017917	0.49735	0
207	-0.24225	0.43405	0
208	-0.21495	0.44857	0
209	-0.21768	0.44729	0
210	-0.20397	0.45391	0
211	-0.20718	0.45236	0
212	0.12349	0.4823	0
213	0.11573	0.484	0
214	0.14183	0.47684	0
215	0.1409	0.47711	0
216	0.15934	0.47154	0
217	0.15561	0.4729	0
218	0.1704	0.4674	0
219	0.16907	0.46789	0
220	0.18222	0.46303	0
221	0.17095	0.46718	0
222	0.19549	0.45787	0
223	0.19198	0.45935	0
224	0.092287	0.48932	0
225	0.069466	0.49355	0
226	0.20807	0.45212	0
227	0.19982	0.45576	0
228	0.18332	0.46255	0
229	0.097804	0.48831	0
230	0.09379	0.48904	0
231	0.10399	0.48712	0
232	0.11456	0.48426	0
233	0.10622	0.48667	0
234	0.12875	0.48079	0
235	0.13273	0.47964	0
236	0.14881	0.47497	0
237	0.01668	0.49745	0
238	-0.35701	0.34653	0
239	-0.36458	0.33914	0
240	-0.36512	0.33847	0
241	-0.37137	0.33072	0
242	-0.36465	0.33907	0
243	-0.35095	0.35276	0
244	-0.28915	0.40564	0
245	-0.294	0.40174	0
246	-0.2836	0.40864	0
247	-0.28048	0.41077	0
248	-0.3123	0.38744	0
249	-0.31534	0.38488	0
250	-0.21998	0.44617	0
251	-0.1957	0.45804	0
252	-0.19328	0.45894	0
253	-0.13914	0.47803	0
254	-0.14605	0.47633	0
255	-0.15109	0.47421	0
256	-0.16777	0.46825	0
257	-0.10755	0.48594	0
258	-0.10799	0.48585	0
259	-0.26749	0.41936	0
260	-0.32011	0.38081	0
261	-0.29802	0.3988	0
262	-0.30194	0.39571	0
263	-0.32414	0.37748	0
264	-0.32613	0.37564	0
265	-0.30701	0.39185	0
266	-0.33295	0.37	0
267	-0.33911	0.36435	0
268	-0.34661	0.3571	0
269	-0.34961	0.35424	0
270	-0.5159	0.007661	0
271	-0.51597	0.007279	0
272	-0.50909	0.026206	0
273	-0.50957	0.024609	0
274	-0.47627	0.14334	0
275	-0.47701	0.14084	0
276	-0.47913	0.13319	0
277	-0.47948	0.1321	0
278	-0.48399	0.11534	0
279	-0.48008	0.13004	0
280	-0.47318	0.15186	0
281	-0.47485	0.14783	0
282	-0.47103	0.15832	0
283	-0.47196	0.1551	0
284	-0.45364	0.20387	0
285	-0.4546	0.20191	0
286	-0.45111	0.20924	0
287	-0.45865	0.19176	0
288	-0.46547	0.17461	0
289	-0.4669	0.17123	0
290	-0.46402	0.17797	0
291	-0.46784	0.16868	0
292	-0.46975	0.16328	0
293	-0.44517	0.22158	0
294	-0.38564	0.31434	0
295	-0.38644	0.3134	0
296	-0.37951	0.32174	0
297	-0.37999	0.32118	0
298	-0.37585	0.32572	0
299	-0.36469	0.33902	0
300	-0.39597	0.30099	0
301	-0.39851	0.29786	0
302	-0.4003	0.29542	0
303	-0.41751	0.27076	0
304	-0.34147	0.36208	0
305	-0.37206	0.32982	0
306	-0.39278	0.30506	0
307	-0.3822	0.31851	0
308	-0.39127	0.30715	0
